ESG,NON-ESG
Carbon emissions.,puncture
Air,ultra
water pollution,attend
Deforestation,person
Green energy initiatives,lovely
Waste management,glorious
Water usage,psychedelic
Data security,trousers
Customer satisfaction,listen
Company sexual harassment policies.,homely
Fair labor practices.,scientific
Diversity of board members,loving
Political contributions,vest
Executive pay,heal
Large-scale lawsuits,murder
Internal corruption,addition
Lobbying,awake
Acid Rain,haunt
Overfishing,laugh
Urban Sprawl,aware
Waste Production,awful
Genetic Modification Of Crops,thick
The Nitrogen Cycle,mourn
Ocean Acidification,flavor
Air Pollution,detailed
Lowered Biodiversity,creature
Transportation,plausible
Polar Ice Caps,accurate
Climate Change,digestion
Overpopulation,control
Mining,match
Agricultural Pollution,sedate
Urban Sprawl,divergent
Littering and Landfill,important
Loss of Tropical Rainforests,switch
Carbon footprint,walk
Biological pollutants,error
Consumerism,soda
Ecosystem destruction,terrible
Energy conservation:,doll
Food safety,ablaze
Intensive farming,truculent
Land degradation,satisfy
Land use,loss
Nuclear issues,unique
Resource depletion,capable
Soil contamination,friendly
Toxins,one
Voting rights,surround
Climate justice,abnormal
Healthcare,childlike
Racial Injustice,ill-fated
Gun Violence,obnoxious
Equality,snatch
Mental illness,practice
Hate crimes,poor
High crime rate,plant
Transgender issues,creepy
Sexual abuse,black
Obesity,book
Sexual slavery,grin
Civil rights,boorish
Noise pollution,fail
Privacy,seat
Prostitution,alarm
Bullying,harass
Gender roles,plantation
Urban sprawl,instruct
Civil rights,rejoice
Student rights,act
Terrorism,back
Sexism,ancient
Misogyny,vulgar
Racism,country
Plagiarism,inexpensive
Voting issues,clean
Waste disposal,numerous
Police brutality,scale
Rape,pencil
Abortion,peaceful
Stress,furniture
Sex education,spiritual
Sexual discrimination,hole
Criminal rights,signal
Unemployment,slip
"Computer crime, hacking",spoil
Tax reform,stormy
Suicide,look
Alcohol abuse,needle
Torture,uncovered
Racial discrimination,symptomatic
Drug abuse,burly
Surveillance,lackadaisical
Corruption,change
Transparency,liquid
